,doi,author_name
0,10.1145/3338855,Teng-Chieh Huang
1,10.1145/3338855,Razieh Nokhbeh Zaeem
2,10.1145/3338855,K. Suzanne Barber
3,10.1109/PASSAT/SocialCom.2011.34,Michael D. Conover
4,10.1109/PASSAT/SocialCom.2011.34,Bruno Gonçalves
5,10.1109/PASSAT/SocialCom.2011.34,Jacob Ratkiewicz
6,10.1109/PASSAT/SocialCom.2011.34,Alessandro Flammini
7,10.1109/PASSAT/SocialCom.2011.34,Filippo Menczer
8,10.1109/ACCESS.2018.2886314,Majed A. AlRubaian
9,10.1109/ACCESS.2018.2886314,Muhammad Al-Qurishi
10,10.1109/ACCESS.2018.2886314,Atif Alamri
11,10.1109/ACCESS.2018.2886314,Mabrook S. Alrakhami
12,10.1109/ACCESS.2018.2886314,Mohammad Mehedi Hassan
13,10.1109/ACCESS.2018.2886314,Giancarlo Fortino
14,10.1109/ASONAM.2014.6921610,Dennis Kergl
15,10.1109/ASONAM.2014.6921610,Robert Roedler
16,10.1109/ASONAM.2014.6921610,Sebastian Seeber
17,10.3905/jpm.2001.319822,Alex Frino
18,10.3905/jpm.2001.319822,David R. Gallagher
19,10.2308/accr-51865,Eli Bartov
20,10.2308/accr-51865,Lucile Faurel
21,10.2308/accr-51865,Partha S. Mohanram
22,10.1126/science.346.6213.1063,Derek Ruths
23,10.1126/science.346.6213.1063,Jürgen Pfeffer
24,10.1108/IntR-05-2012-0095,Carlos Castillo
25,10.1108/IntR-05-2012-0095,Marcelo Mendoza
26,10.1108/IntR-05-2012-0095,Barbara Poblete
27,10.1145/324133.324140,Jon M. Kleinberg
28,10.1108/IntR-06-2013-0115,Harald Schoen
29,10.1108/IntR-06-2013-0115,Daniel Gayo-Avello
30,10.1108/IntR-06-2013-0115,Panagiotis Takis Metaxas
31,10.1108/IntR-06-2013-0115,Eni Mustafaraj
32,10.1108/IntR-06-2013-0115,Markus Strohmaier
33,10.1108/IntR-06-2013-0115,Peter A. Gloor
34,10.2200/S00416ED1V01Y201204HLT016,Bing Liu
35,10.1016/j.eswa.2015.07.052,Thien Hai Nguyen
36,10.1016/j.eswa.2015.07.052,Kiyoaki Shirai
37,10.1016/j.eswa.2015.07.052,Julien Velcin
38,10.1109/INFCOMW.2011.5928903,Harshavardhan Achrekar
39,10.1109/INFCOMW.2011.5928903,Avinash Gandhe
40,10.1109/INFCOMW.2011.5928903,Ross Lazarus
41,10.1109/INFCOMW.2011.5928903,Ssu-Hsin Yu
42,10.1109/INFCOMW.2011.5928903,Benyuan Liu
43,10.1016/j.eswa.2016.12.036,Nuno Oliveira
44,10.1016/j.eswa.2016.12.036,Paulo Cortez
45,10.1016/j.eswa.2016.12.036,Nelson Areal
46,10.1109/CIP.2010.5604088,Vasileios Lampos
47,10.1109/CIP.2010.5604088,Nello Cristianini
48,10.1016/j.jocs.2010.12.007,Johan Bollen
49,10.1016/j.jocs.2010.12.007,Huina Mao
50,10.1016/j.jocs.2010.12.007,Xiao-Jun Zeng
51,10.1145/2124295.2124358,Eduardo J. Ruiz
52,10.1145/2124295.2124358,Vagelis Hristidis
53,10.1145/2124295.2124358,Carlos Castillo
54,10.1145/2124295.2124358,Aristides Gionis
55,10.1145/2124295.2124358,Alejandro Jaimes
56,10.1145/544741.544853,Josep M. Pujol
57,10.1145/544741.544853,Ramon Sangüesa
58,10.1145/544741.544853,Jordi Delgado
59,10.1109/ISI.2010.5484757,Sibel Adali
60,10.1109/ISI.2010.5484757,Robert Escriva
61,10.1109/ISI.2010.5484757,Mark K. Goldberg
62,10.1109/ISI.2010.5484757,Mykola Hayvanovych
63,10.1109/ISI.2010.5484757,Malik Magdon-Ismail
64,10.1109/ISI.2010.5484757,Boleslaw K. Szymanski
65,10.1109/ISI.2010.5484757,William A. Wallace
66,10.1109/ISI.2010.5484757,Gregory Todd Williams
67,10.1007/978-3-030-02686-8_29,Razieh Nokhbeh Zaeem
68,10.1007/978-3-030-02686-8_29,David Liau
69,10.1007/978-3-030-02686-8_29,K. Suzanne Barber
70,10.1257/jep.31.2.211,Hunt Allcott
71,10.1257/jep.31.2.211,Matthew Gentzkow
72,10.1109/ASONAM.2012.200,Alberto Lumbreras
73,10.1109/ASONAM.2012.200,Ricard Gavaldà
74,10.1016/j.dss.2005.05.019,Audun Jøsang
75,10.1016/j.dss.2005.05.019,Roslan Ismail
76,10.1016/j.dss.2005.05.019,Colin Boyd
77,10.1371/journal.pone.0079449,Joseph DiGrazia
78,10.1371/journal.pone.0079449,Karissa Rae McKelvey
79,10.1371/journal.pone.0079449,Johan Bollen
80,10.1371/journal.pone.0079449,Fabio Rojas
81,10.1007/978-3-319-13734-6_16,Aditi Gupta
82,10.1007/978-3-319-13734-6_16,Ponnurangam Kumaraguru
