"result_@id","result_@score","result_info_authors_author_@pid","result_info_authors_author_text","result_info_doi","result_info_ee","result_info_key","result_info_number","result_info_pages","result_info_publisher","result_info_title","result_info_type","result_info_url","result_info_venue","result_info_volume","result_info_year","result_url"
"388703","5","235/7211","Flavie Perrier","","https://tel.archives-ouvertes.fr/tel-01979135","phd/hal/Perrier18a","","","","Bio-statistical approaches to evaluate the link between specific nutrients and methylation patterns in a breast cancer case-control study nested within the European Prospective Investigation into Cancer and Nutrition (EPIC) study. (Approches bio-statistiques pour évaluer le lien entre nutriments et profils de méthylation du cancer du sein dans l&apos;étude prospective Européenne sur le Cancer et la Nutrition (EPIC)).","Books and Theses","https://dblp.org/rec/phd/hal/Perrier18a","","","2018","URL#388703"
"59140","4","223/2079","Woo Jung Choi","10.1186/S12880-018-0303-3","https://doi.org/10.1186/s12880-018-0303-3","journals/bmcmi/YeomCKCSC19","1","2:1-2:9","","Screening mammography for second breast cancers in women with history of early-stage breast cancer - factors and causes associated with non-detection.","Journal Articles","https://dblp.org/rec/journals/bmcmi/YeomCKCSC19","BMC Medical Imaging","19","2019","URL#59140"
"159453","4","59/9102","Takamaro Kikkawa","10.1109/TBME.2018.2887083","https://doi.org/10.1109/TBME.2018.2887083","journals/tbe/SongSMKSOAOK19","8","2296-2305","","Detectability of Breast Tumors in Excised Breast Tissues of Total Mastectomy by IR-UWB-Radar-Based Breast Cancer Detector.","Journal Articles","https://dblp.org/rec/journals/tbe/SongSMKSOAOK19","IEEE Trans. Biomed. Engineering","66","2019","URL#159453"
"271032","4","249/6179","Tomasz Jasinski","10.1007/978-3-030-30443-0_10","https://doi.org/10.1007/978-3-030-30443-0_10","conf/isat/LeszczynskiJ19","","111-120","","Artificial Neural Networks in Forecasting Cancer Therapy Methods and Costs of Cancer Patient Treatment. Case Study for Breast Cancer.","Conference and Workshop Papers","https://dblp.org/rec/conf/isat/LeszczynskiJ19","ISAT","","2019","URL#271032"
"348056","4","s/JoelHSaltz","Joel H. Saltz","","http://arxiv.org/abs/1905.10841","journals/corr/abs-1905-10841","","","","Utilizing Automated Breast Cancer Detection to Identify Spatial Distributions of Tumor Infiltrating Lymphocytes in Invasive Breast Cancer.","Informal Publications","https://dblp.org/rec/journals/corr/abs-1905-10841","CoRR","abs/1905.10841","2019","URL#348056"
"878013","4","54/2788","Ao Li","10.1109/CISP-BMEI.2017.8301908","https://doi.org/10.1109/CISP-BMEI.2017.8301908","conf/bmei/SunWFL17","","1-5","","Prognosis prediction of human breast cancer by integrating deep neural network and support vector machine - Supervised feature extraction and classification for breast cancer prognosis prediction.","Conference and Workshop Papers","https://dblp.org/rec/conf/bmei/SunWFL17","CISP-BMEI","","2017","URL#878013"
"1077541","4","176/9871","Pedro Gouveia","10.1016/J.CMPB.2015.11.010","https://doi.org/10.1016/j.cmpb.2015.11.010","journals/cmpb/CardosoCOG16","","154-159","","The breast cancer conservative treatment. Cosmetic results - BCCT.core - Software for objective assessment of esthetic outcome in breast cancer conservative treatment - A narrative review.","Journal Articles","https://dblp.org/rec/journals/cmpb/CardosoCOG16","Comput. Methods Programs Biomed.","126","2016","URL#1077541"
"1768787","4","p/OscarPastor","Oscar Pastor","10.1109/BHI.2014.6864395","https://doi.org/10.1109/BHI.2014.6864395","conf/bhi/BurrielP14","","432-435","","Conceptual Schema of Breast Cancer - The background to design an efficient information system to manage data from diagnosis and treatment of breast cancer patients.","Conference and Workshop Papers","https://dblp.org/rec/conf/bhi/BurrielP14","BHI","","2014","URL#1768787"
"1805847","4","75/8284","Herbert Stekel","10.1145/2598394.2609853","https://doi.org/10.1145/2598394.2609853","conf/gecco/WinklerASS14","","1337-1344","","Data based prediction of cancer diagnoses using heterogeneous model ensembles - a case study for breast cancer, melanoma, and cancer in the respiratory system.","Conference and Workshop Papers","https://dblp.org/rec/conf/gecco/WinklerASS14","GECCO","","2014","URL#1805847"
"2082384","4","75/8284","Herbert Stekel","10.1145/2464576.2466809","https://doi.org/10.1145/2464576.2466809","conf/gecco/WinklerAS13","","1463-1470","","Evolutionary identification of cancer predictors using clustered data - a case study for breast cancer, melanoma, and cancer in the respiratory system.","Conference and Workshop Papers","https://dblp.org/rec/conf/gecco/WinklerAS13","GECCO","","2013","URL#2082384"
