,doi,doi_cite
0,10.1109/PASSAT/SocialCom.2011.34,10.1109/SNAMS.2019.8931874
1,10.1109/ACCESS.2018.2886314,10.1109/ACCESS.2019.2943747
2,10.1109/ASONAM.2014.6921610,10.1145/2700171.2791030
3,10.3905/jpm.2001.319822,10.1016/j.ejor.2013.09.006
4,10.2308/accr-51865,10.1007/s12197-019-09494-4
5,10.1126/science.346.6213.1063,10.1111/jonm.12501
6,10.1108/IntR-05-2012-0095,10.1109/ICACCS.2019.8728321
7,10.1145/324133.324140,10.1023/B:JIIS.0000039532.05533.99
8,10.2200/S00416ED1V01Y201204HLT016,10.1109/IC3.2017.8284318
9,10.1016/j.eswa.2015.07.052,10.14419/ijet.v7i2.31.13402
10,10.1109/INFCOMW.2011.5928903,10.1145/3338855
11,10.1016/j.eswa.2016.12.036,10.1007/s10462-017-9588-9
12,10.1109/CIP.2010.5604088,10.1007/978-3-642-29262-0_1
13,10.1016/j.jocs.2010.12.007,10.1371/journal.pone.0213843
14,10.1145/2124295.2124358,10.7717/peerj-cs.126
15,10.1145/544741.544853,10.1145/2981545
16,10.1109/ISI.2010.5484757,10.1109/ICGCIoT.2015.7380706
17,10.1007/978-3-030-02686-8_29,10.1145/3338855
18,10.1257/jep.31.2.211,10.15655/mw/2018/v9i1/49277
19,10.1109/ASONAM.2012.200,10.1007/978-3-642-39345-7_33
20,10.1016/j.dss.2005.05.019,10.1109/ICCASM.2010.5620330
21,10.1371/journal.pone.0079449,10.1109/SNAMS.2019.8931869
22,10.1007/978-3-319-13734-6_16,10.1109/iccke.2017.8167892
23,10.1145/2185354.2185356,10.1109/ISI.2018.8587374
24,10.1109/PASSAT/SocialCom.2011.91,10.1109/SocialCom-PASSAT.2012.128
25,10.1145/1964858.1964869,10.1016/j.comcom.2015.07.001
26,10.1145/2501654.2501661,10.1007/s11280-019-00668-y
27,10.1145/1718487.1718520,10.1109/TNET.2017.2681121
28,10.1145/2487788.2488095,10.1016/j.knosys.2016.05.042
29,10.1145/2675133.2675144,10.1109/ASE.2019.00031
30,10.1137/1.9781611972825.14,10.24251/hicss.2019.271
31,10.1145/1963405.1963500,10.1109/DASC-PICom-DataCom-CyberSciTec.2017.170
32,10.1145/3077136.3080667,10.1145/3338855
33,10.1145/1321440.1321575,10.5057/isase.2019-c000007
34,10.1016/j.eswa.2014.06.009,10.3390/en12224291
35,10.5860/choice.49-1894,10.2139/ssrn.2587541
36,10.1111/j.1460-2466.2011.01543.x,10.1080/1369118X.2017.1410206
37,10.1126/science.aaa1160,10.1111/jcc4.12189
38,10.1111/j.1460-2466.2010.01497.x,10.1177/0267323112453671
39,10.1145/2441955.2441981,10.1145/2736277.2741099
40,10.1145/3210284.3219769,10.1515/jisys-2019-0106
41,10.1109/ICSE.2003.1201253,10.1145/2157136.2157222
42,10.1080/19378620902721322,10.1080/0966369X.2011.572433
43,10.1002/asi.21662,10.1109/IACS.2015.7103221
44,10.18653/v1/S17-1007,10.18653/v1/d18-1507
45,10.1007/978-3-319-07983-7_27,10.3389/fams.2018.00041
46,10.1016/j.knosys.2014.05.016,10.1007/978-3-319-95020-4
47,10.1145/3003433,10.1007/978-3-030-34971-4_19
48,10.1007/978-3-319-98812-2_13,10.2197/ipsjjip.27.404
49,10.1145/1835449.1835643,10.1007/s13278-016-0329-x
50,10.1145/2187980.2188035,10.5167/uzh-161922
51,10.18653/v1/e17-2068,10.5282/ubm/epub.61858
52,10.1007/978-3-642-20161-5_16,10.1145/2740908.2742573
53,10.1007/978-1-4471-2099-5_1,10.1109/CDC.2017.8264132
54,10.1145/1864708.1864746,10.1145/2813448.2813515
55,10.1145/1409360.1409378,10.1109/PIC.2014.6972319
56,10.1162/tacl_a_00051,10.18653/v1/p19-1397
57,10.1145/2063576.2063941,10.3389/frobt.2015.00024
58,10.1162/153244302760185243,10.1371/journal.pcbi.1003563
59,10.1145/138859.138861,10.1002/(SICI)1520-684X(200001)31:1%3C48::AID-SCJ6%3E3.0.CO;2-F
60,10.1108/AJIM-04-2017-0098,10.1145/3341162.3349298
61,10.1590/S0102-44501999000100006,10.17507/tpls.0906.06
62,10.1177/074391569501400106,10.1509/jppm.20.2.215.17369
63,10.1089/cyber.2014.0479,10.1037/pro0000219
64,10.1016/j.chb.2014.04.048,10.1016/j.tele.2015.06.009
65,10.1016/j.tele.2015.06.009,10.20491/isarder.2018.496
66,10.1177/0146167208320061,10.4236/sn.2014.35026
67,10.22230/cjc.2014v39n4a2917,10.1037/emo0000403
68,10.1080/1369118X.2014.987152,10.1080/1369118X.2016.1259343
69,10.1027/1864-1105/a000076,10.1145/2810103.2813603
70,10.1016/j.chb.2008.02.012,10.1016/j.chb.2014.03.010
71,10.1002/asi.v59:8,10.1177/1363460717737488
72,10.1111/jcc4.12052,10.3390/fi10120114
73,10.1080/15551393.2014.955501,10.1108/AJIM-04-2017-0098
74,10.1177/1948550612460059,10.1016/j.chb.2014.12.045
75,10.1177/1461444813520301,10.18848/2381-9227/cgp/v10i02/59504
76,10.1177/1461444813504265,10.4000/rfsic.1097
77,10.1145/1978942.1979110,10.17011/ht/urn.201711104210
78,10.1016/j.chb.2016.05.044,10.1016/j.chb.2016.06.045
79,10.1145/1357054.1357225,10.1109/TSMCA.2011.2132707
80,10.1016/j.chb.2014.03.016,10.1016/j.chb.2015.10.001
81,10.1016/j.chb.2010.03.018,10.1145/2998181.2998192
82,10.1016/j.chb.2015.06.032,10.11591/edulearn.v14i1.14090
83,10.1002/asi.23620,10.1145/3196709.3196764
84,10.1016/j.ipm.2018.10.007,10.1007/978-3-030-34971-4_22
85,10.1108/AJIM-03-2018-0072,10.1108/IntR-08-2017-0299
86,10.1038/nature07634,10.1109/icasi.2018.8394461
87,10.1007/978-3-642-23635-8_3,10.15640/jlis.v5n1_2a1
88,10.1145/1964858.1964874,10.1145/2396761.2398726
89,10.1371/journal.pone.0019467,10.1186/2196-1115-1-2
90,10.1145/2983323.2983760,10.1145/3132847.3132968
91,10.1109/TMM.2013.2265080,10.1109/CISTI.2015.7170478
92,10.1017/CBO9780511809071,10.1002/asi.21358
93,10.1145/2009916.2010142,10.1145/2396761.2396787
94,10.1145/1277741.1277759,10.1109/WIIAT.2008.24
95,10.1145/2736277.2741643,10.18653/v1/W16-3638
96,10.1145/1008992.1009052,10.1016/j.ipm.2008.08.001
97,10.1145/1989323.1989391,10.5441/002/edbt.2014.13
98,10.1007/978-3-319-16354-3_52,10.1109/iemcon.2018.8614746
99,10.1145/1526709.1526728,10.1109/HICSS.2016.592
100,10.1145/2505515.2505709,10.1007/978-981-10-0515-2_13
101,10.1109/ICDE.2014.6816635,10.22214/ijraset.2018.3612
102,10.1145/2600428.2609634,10.1109/TKDE.2018.2851257
103,10.1016/B978-012722442-8/50016-1,10.1109/IJCNN.2011.6033491
104,10.1145/2766462.2767710,10.1145/3234944.3234973
105,10.1145/2396761.2396787,10.1007/s11280-013-0251-3
106,10.14778/2336664.2336671,10.1109/ICDE.2014.6816635
107,10.1145/3130348.3130369,10.1109/ICDM.2009.107
108,10.1109/IRI.2014.7051942,10.25148/etd.FI14110776
109,10.1145/2484028.2484045,10.1145/2914586.2914600
110,10.1145/383952.383970,10.32657/10356/50765
111,10.1145/2009916.2010016,10.1145/2396761.2396787
112,10.1145/1645953.1646259,10.3390/e18040105
113,10.1023/A:1015702129514,10.1145/2505515.2505709
114,10.1145/3132847.3132968,10.1109/VAST47406.2019.8986922
115,10.1109/ICCA.2016.7505352,10.1145/3369780
116,10.1145/1054972,10.1186/s40166-015-0007-x
117,10.1109/9780470544334.ch9,10.1016/j.envsoft.2018.02.015
118,10.1145/1502650.1502664,10.1109/ICDMW.2013.78
119,10.1145/1031171.1031258,10.1145/2911451.2911529
120,10.1007/978-3-642-21852-1_55,10.1109/JCDL.2017.7991556
121,10.1007/978-3-642-34321-6_25,10.1108/IJPCC-03-2014-0019
122,10.1109/BigDataCongress.2015.18,10.5755/j01.itc.48.4.21950
123,10.1145/1753326.1753503,10.1145/2348283.2348372
124,10.1109/ICDMW.2011.171,10.1007/978-3-319-42706-5_12
