,score,id,url_num,author,title,venue,vol,pages,year,pub_type,key,doi,ee,url,num
0,2,23867,URL#23867,"[{'@pid': '220/0089', 'text': 'Mohammad A. Hassonah'}, {'@pid': '52/8946', 'text': 'Rizik M. H. Al-Sayyed'}, {'@pid': '75/8371', 'text': 'Ali Rodan'}, {'@pid': '210/0901', 'text': 'Ala&apos; M. Al-Zoubi'}, {'@pid': '61/10168', 'text': 'Ibrahim Aljarah'}, {'@pid': '58/10459', 'text': 'Hossam Faris'}]",An efficient hybrid filter and evolutionary wrapper approach for sentiment analysis of various topics on Twitter.,Knowl. Based Syst.,192,105353,2020,Journal Articles,journals/kbs/HassonahARAAF20,10.1016/J.KNOSYS.2019.105353,https://doi.org/10.1016/j.knosys.2019.105353,https://dblp.org/rec/journals/kbs/HassonahARAAF20,
1,2,151968,URL#151968,"[{'@pid': '55/6987', 'text': 'Yu Suzuki'}]",Filtering Method for Twitter Streaming Data Using Human-in-the-Loop Machine Learning.,JIP,27,404-410,2019,Journal Articles,journals/jip/Suzuki19,10.2197/IPSJJIP.27.404,https://doi.org/10.2197/ipsjjip.27.404,https://dblp.org/rec/journals/jip/Suzuki19,
2,2,210564,URL#210564,"[{'@pid': '157/2697', 'text': 'Teng-Chieh Huang'}, {'@pid': '99/7855', 'text': 'Razieh Nokhbeh Zaeem'}, {'@pid': 'b/KSuzanneBarber', 'text': 'K. Suzanne Barber'}]",It Is an Equal Failing to Trust Everybody and to Trust Nobody - Stock Price Prediction Using Trust Filters and Enhanced User Sentiment on Twitter.,ACM Trans. Internet Techn.,19,48:1-48:20,2019,Journal Articles,journals/toit/HuangZB19,10.1145/3338855,https://doi.org/10.1145/3338855,https://dblp.org/rec/journals/toit/HuangZB19,4
3,2,249648,URL#249648,"[{'@pid': '252/4386', 'text': 'Ruchi Ookalkar'}, {'@pid': '218/0735', 'text': 'Kolli Vishal Reddy'}, {'@pid': '67/1320', 'text': 'Eric Gilbert'}]",Pop - Bursting News Filter Bubbles on Twitter Through Diverse Exposure.,CSCW Companion,,18-22,2019,Conference and Workshop Papers,conf/cscw/OokalkarRG19,10.1145/3311957.3359513,https://doi.org/10.1145/3311957.3359513,https://dblp.org/rec/conf/cscw/OokalkarRG19,
4,2,374406,URL#374406,"[{'@pid': '176/4960', 'text': 'Quentin Grossetti'}, {'@pid': '30/5741', 'text': 'Cédric du Mouza'}, {'@pid': '75/5308', 'text': 'Nicolas Travers'}]",Community-Based Recommendations on Twitter - Avoiding the Filter Bubble.,WISE,,212-227,2019,Conference and Workshop Papers,conf/wise/GrossettiMT19,10.1007/978-3-030-34223-4_14,https://doi.org/10.1007/978-3-030-34223-4_14,https://dblp.org/rec/conf/wise/GrossettiMT19,
5,2,508587,URL#508587,"[{'@pid': '160/2341', 'text': 'Mohammad Ebrahimi'}, {'@pid': '167/2174', 'text': 'Elaheh ShafieiBavani'}, {'@pid': '53/3032', 'text': 'Raymond K. Wong'}, {'@pid': '52/488-1', 'text': 'Fang Chen 0001'}]",Twitter user geolocation by filtering of highly mentioned users.,J. Assoc. Inf. Sci. Technol.,69,879-889,2018,Journal Articles,journals/jasis/EbrahimiSWC18,10.1002/ASI.24011,https://doi.org/10.1002/asi.24011,https://dblp.org/rec/journals/jasis/EbrahimiSWC18,7
6,2,579210,URL#579210,"[{'@pid': '148/7274', 'text': 'Yihong Zhang 0001'}, {'@pid': '11/1325', 'text': 'Claudia Szabo'}, {'@pid': 's/QuanZSheng', 'text': 'Quan Z. Sheng'}, {'@pid': '162/8840', 'text': 'Xiu Susie Fang'}]",SNAF - Observation filtering and location inference for event monitoring on twitter.,World Wide Web,21,311-343,2018,Journal Articles,journals/www/ZhangSSF18,10.1007/S11280-017-0453-1,https://doi.org/10.1007/s11280-017-0453-1,https://dblp.org/rec/journals/www/ZhangSSF18,2
7,2,616241,URL#616241,"[{'@pid': '201/7905', 'text': 'Lisa Branz'}, {'@pid': '146/1794', 'text': 'Patricia Brockmann'}]","Sentiment Analysis of Twitter Data - Towards Filtering, Analyzing and Interpreting Social Network Data.",DEBS,,238-241,2018,Conference and Workshop Papers,conf/debs/BranzB18,10.1145/3210284.3219769,https://doi.org/10.1145/3210284.3219769,https://dblp.org/rec/conf/debs/BranzB18,
8,2,616699,URL#616699,"[{'@pid': '55/6987', 'text': 'Yu Suzuki'}, {'@pid': '57/1548-1', 'text': 'Satoshi Nakamura 0001'}]",Information Filtering Method for Twitter Streaming Data Using Human-in-the-Loop Machine Learning.,DEXA,,167-175,2018,Conference and Workshop Papers,conf/dexa/Suzuki018,10.1007/978-3-319-98812-2_13,https://doi.org/10.1007/978-3-319-98812-2_13,https://dblp.org/rec/conf/dexa/Suzuki018,
9,2,803983,URL#803983,"[{'@pid': 't/MikeThelwall', 'text': 'Mike Thelwall'}, {'@pid': '97/11058', 'text': 'Farida Vis'}]","Gender and image sharing on Facebook, Twitter, Instagram, Snapchat and WhatsApp in the UK - Hobbying alone or filtering for friends?",Aslib J. Inf. Manag.,69,702-720,2017,Journal Articles,journals/aslib/ThelwallV17,10.1108/AJIM-04-2017-0098,https://doi.org/10.1108/AJIM-04-2017-0098,https://dblp.org/rec/journals/aslib/ThelwallV17,6
