,doi,topicId,topic
0,10.1145/3338855,6015,Social media
1,10.1109/PASSAT/SocialCom.2011.34,6015,Social media
2,10.1109/ACCESS.2018.2886314,55757,Information science
3,10.1109/ASONAM.2014.6921610,1357,Streaming media
4,10.3905/jpm.2001.319822,100679,The Wall Street Journal
5,10.2308/accr-51865,6015,Social media
6,10.1126/science.346.6213.1063,535112,standards characteristics
7,10.1108/IntR-05-2012-0095,6015,Social media
8,10.1145/324133.324140,28714,Hyperlink
9,10.2200/S00416ED1V01Y201204HLT016,6011,Sentiment analysis
10,10.1016/j.eswa.2015.07.052,6011,Sentiment analysis
11,10.1016/j.eswa.2016.12.036,72569,Volatility
12,10.1109/CIP.2010.5604088,6015,Social media
13,10.1016/j.jocs.2010.12.007,27538,Closing (morphology)
14,10.1145/2124295.2124358,6025,Blog
15,10.1145/544741.544853,12426,Social network
16,10.1109/ISI.2010.5484757,12426,Social network
17,10.1007/978-3-030-02686-8_29,6015,Social media
18,10.1109/ASONAM.2012.200,12428,Recommender system
19,10.1016/j.dss.2005.05.019,95392,Reputation system
20,10.1371/journal.pone.0079449,6018,Social Media
21,10.1007/978-3-319-13734-6_16,168,Machine learning
22,10.1145/2185354.2185356,14798,Relevance feedback
23,10.1109/PASSAT/SocialCom.2011.91,12426,Social network
24,10.1145/1964858.1964869,65645,Amortized analysis
25,10.1145/2501654.2501661,12426,Social network
26,10.1145/1718487.1718520,21527,PageRank
27,10.1145/2487788.2488095,93559,Web of trust
28,10.1145/2675133.2675144,85,Crowdsourcing
29,10.1137/1.9781611972825.14,89,Mathematical optimization
30,10.1145/1963405.1963500,1371,Precision and recall
31,10.1145/3077136.3080667,19481,Download
32,10.1145/1321440.1321575,95500,Link analysis
33,10.1016/j.eswa.2014.06.009,6609,Text mining
34,10.1145/3311957.3359513,6015,Social media
35,10.1126/science.aaa1160,367857,Choice Behavior
36,10.1145/2441955.2441981,7871,Selectivity (electronic)
37,10.1007/978-3-030-34223-4_14,12428,Recommender system
38,10.1145/3210284.3219769,6011,Sentiment analysis
39,10.1109/ICSE.2003.1201253,4506,Computer science
40,10.1002/asi.21662,6011,Sentiment analysis
41,10.18653/v1/S17-1007,94179,Hashtag
